Tamil,English
ஆக்கத்தை,aakkaththai
யொழிய,yozhiya
விடல்,vital
தக்கார்,thakkaar
தகவிலர்,thakavilar
என்பது,enpadhu
அவரவர்,avaravar
எச்சத்தாற்,echchaththaar
காணப்ப,kaanap
கேடும்,ketum
பெருக்கமும்,perukkamum
இல்லல்ல,illalla
நெஞ்சத்துக்,nenjaththuk
கோடாமை,kotaamai
சான்றோர்க்,saandrork
கணி,kani
கெடுவல்யான்,ketuvalyaan
அறிகதன்,arikadhan
நெஞ்சம்,nenjam
நடுவொரீஇ,natuvoreei
செயின்,"seyin, cheyin"
கெடுவாக,ketuvaaka
வையாது,vaiyaadhu
நடுவாக,natuvaaka
நன்றிக்கண்,nandrikkan
தங்கியான்,thangiyaan
தாழ்வு,thaazhvu
சமன்செய்து,samanseydhu
சீர்தூக்குங்,seerdhookkung
கோல்போல்,kolpol
அமைந்தொருபால்,amaindhorupaal
சொற்கோட்டம்,sorkottam
இல்லது,illadhu
ஒருதலையா,orudhalaiyaa
உட்கோட்டம்,utkottam
வாணிகம்,vaanikam
செய்வார்க்கு,"cheyvaarkku, seyvaarkku"
பேணிப்,penip
பிறவும்,piravum
தமபோல்,thamapol
அடக்கம்,atakkam
அமரருள்,amararul
உய்க்கும்,uykkum
அடங்காமை,atangaamai
ஆரிருள்,aarirul
உய்த்து,uyththu
காக்க,kaakka
பொருளா,porulaa
அடக்கத்தை,atakkaththai
அதனினூஉங்,adhaninooung
கில்லை,killai
செறிவறிந்து,serivarindhu
சீர்மை,seermai
அறிவறிந்து,arivarindhu
அடங்கப்,atangap
நிலையின்,nilaiyin
திரியாது,thiriyaadhu
அடங்கியான்,atangiyaan
தோற்றம்,thotram
மலையினும்,malaiyinum
எல்லார்க்கும்,ellaarkkum
நன்றாம்,nandraam
பணிதல்,panidhal
அவருள்ளும்,avarullum
செல்வர்க்கே,selvarkke
செல்வம்,"selvam, chelvam"
தகைத்து,thakaiththu
ஒருநம்யுள்,orumaiyul
ஆமைபோல்,aamaipol
ஐந்தடக்கல்,aindhatakkal
எழுநம்யும்,ezhumaiyum
ஏமாப்,emaap
புடைத்து,putaiththu
யாகாவா,yaakaavaa
ராயினும்,raayinum
நாகாக்க,naakaakka
காவாக்கால்,kaavaakkaal
சோகாப்பர்,sokaappar
சொல்லிழுக்குப்,sollizhukkup
பட்டு,pattu
ஒன்றானுந்,ondraanun
தீச்சொல்,theechchol
பொருட்பயன்,porutpayan
உண்டாயின்,untaayin
நன்றாகா,nandraakaa
தீயினாற்,theeyinaar
சுட்டபுண்,suttapun
உள்ளாறும்,ullaarum
ஆறாதே,aaraadhe
நாவினாற்,naavinaar
சுட்ட,sutta
வடு,vatu
கதங்காத்துக்,kadhangaaththuk
கற்றடங்கல்,katratangal
ஆற்றுவான்,aatruvaan
செவ்வி,sevvi
அறம்பார்க்கும்,arampaarkkum
நுழைந்து,nuzhaindhu
ஒழுக்கம்,ozhukkam
விழுப்பந்,vizhuppan
தரலான்,tharalaan
உயிரினும்,uyirinum
ஓம்பப்,ompap
பரிந்தோம்பிக்,parindhompik
தெரிந்தோம்பித்,therindhompith
தேரினும்,therinum
குடிமை,kutimai
இழுக்கம்,izhukkam
இழிந்த,izhindha
பிறப்பாய்,pirappaai
மறப்பினும்,marappinum
ஓத்துக்,oththuk
கொளலாகும்,kolalaakum
பார்ப்பான்,paarppaan
பிறப்பொழுக்கங்,pirappozhukkang
குன்றக்,kundrak
அழுக்கா,azhukkaa
றுடையான்கண்,rutaiyaankan
ஆக்கம்போன்று,aakkampondru
மிலான்கண்,milaankan
உயர்வு,uyarvu
ஒழுக்கத்தின்,ozhukkaththin
ஒல்கார்,olkaar
உரவோர்,uravor
இழுக்கத்தின்,izhukkaththin
ஏதம்,edham
படுபாக்,patupaak
கறிந்து,karindhu
எய்துவர்,"eydhu, eydhuvar"
மேன்மை,menmai
எய்தாப்,eydhaap
நன்றிக்கு,nandrikku
வித்தாகும்,viththaakum
நல்லொழுக்கம்,nallozhukkam
தீயொழுக்கம்,theeyozhukkam
என்றும்,endrum
முடையவர்க்கு,mutaiyavarkku
ஒல்லாவே,ollaave
தீய,theeya
வழுக்கியும்,vazhukkiyum
வாயாற்,vaayaar
சொலல்,"solal, cholal"
உலகத்தோடு,ulakaththotu
ஒட்ட,otta
ஒழுகல்,ozhukal
பலகற்றும்,palakatrum
கல்லார்,kallaar
அறிவிலா,arivilaa
பிறன்பொருளாள்,piranporulaal
பெட்டொழுகும்,pettozhukum
பேதைமை,pedhaimai
ஞாலத்து,gnaalaththu
அறம்பொருள்,aramporul
கண்டார்கண்,kantaarkan
அறன்கடை,arankatai
நின்றாருள்,nindraarul
பிறன்கடை,pirankatai
நின்றாரின்,nindraarin
பேதையார்,pedhaiyaar
விளிந்தாரின்,vilindhaarin
வேறல்லர்,verallar
மன்ற,mandra
தெளிந்தாரில்,thelindhaaril
தீமை,theemai
புரிந்து,purindhu
ஒழுகு,ozhuku
எனைத்துணையர்,enaiththunaiyar
ஆயினும்,aayinum
என்னாம்,ennaam
தினைத்துணையும்,thinaiththunaiyum
தேரான்,theraan
பிறனில்,piranil
புகல்,pukal
எளிதென,elidhena
இல்லிறப்பான்,illirappaan
எய்துமெஞ்,eydhumenj
ஞான்றும்,gnaandrum
விளியாது,viliyaadhu
நிற்கும்,"nirrkum, nirkum"
பகைபாவம்,pakaipaavam
அச்சம்,achcham
பழியென,pazhiyena
இகவாவாம்,ikavaavaam
கண்,kan
அறனியலான்,araniyalaan
பிறனியலாள்,piraniyalaal
பெண்மை,penmai
நயவா,nayavaa
தவன்,thavan
பிறன்மனை,piranmanai
நோக்காத,nokkaadha
பேராண்மை,peraanmai
சான்றோர்க்கு,saandrorkku
அறனொன்றோ,aranondro
ஆன்ற,aandra
வொழுக்கு,vozhukku
நலக்குரியார்,nalakkuriyaar
யாரெனின்,yaarenin
நாமநீர்,naamaneer
வைப்பின்,vaippin
பிறர்க்குரியாள்,pirarkkuriyaal
தோள்தோயா,tholdhoyaa
அறன்வரையான்,aranvaraiyaan
பிறன்வரையாள்,piranvaraiyaal
நயவாமை,nayavaamai
அகழ்வாரைத்,akazhvaaraith
தாங்கும்,thaangum
நிலம்போலத்,nilampolath
தம்மை,thammai
இகழ்வார்ப்,ikazhvaarp
பொறுத்தல்,poruththal
இறப்பினை,irappinai
மறத்தல்,maraththal
அதனினும்,adhaninum
இன்நம்யுள்,inmaiyul
விருந்தொரால்,virundhoraal
வன்மையுள்,vanmaiyul
வன்மை,vanmai
மடவார்ப்,matavaarp
பொறை,porai
நிறையுடைமை,niraiyutaimai
நீங்காமை,neengaamai
வேண்டின்,ventin
பொற்யுடைமை,poraiyutaimai
போற்றி,potri
யொழுகப்,yozhukap
ஒறுத்தாரை,oruththaarai
ஒன்றாக,ondraaka
வையாரே,vaiyaare
வைப்பர்,vaippar
பொறுத்தாரைப்,poruththaaraip
பொன்போற்,ponpor
பொதிந்து,podhindhu
ஒறுத்தார்க்கு,oruththaarkku
ஒருநாளை,orunaalai
பொறுத்தார்க்குப்,poruththaarkkup
பொன்றுந்,pondrun
துணையும்,thunaiyum
புகழ்,pukazh
திறனல்ல,thiranalla
தற்பிறர்,tharpirar
செய்யினும்,seyyinum
நோநொந்து,nonondhu
அறனல்ல,aranalla
செய்யாமை,seyyaamai
மிகுதியான்,mikudhiyaan
மிக்கவை,mikkavai
செய்தாரைத்,seydhaaraith
தாந்தம்,thaandham
தகுதியான்,thakudhiyaan
வென்று,vendru
துறந்தாரின்,thurandhaarin
தூய்மை,thooimai
உடையர்,utaiyar
இறந்தார்வாய்,irandhaarvaai
நோற்கிற்,norkir
பவர்,pavar
உண்ணாது,unnaadhu
நோற்பார்,norpaar
பிறர்சொல்லும்,pirarsollum
பின்,pin
ஒழுக்காறாக்,ozhukkaaraak
கொள்க,kolka
ஒருவன்தன்,oruvandhan
